# 08-SnaHyp-u-histogram.dat

0.1 4631	2317	1856	1563	1217
0.2 8961	4480	3584	2987	2240
0.3 6140	3074	2470	2072	1586
0.4 2960	1526	1257	1086	885
0.5 4860	2431	1945	1620	1216
0.6 3973	1987	1589	1325	994
0.7 1324	841	769	732	710
0.8 794	794	794	112	41
0.9 1141	828	798	0	0
1.0 3888	1945	1556	0	0


