0.1 1231 779	748	748	748
0.2 2586 1292	1035	878	791
0.3 3154 1578	1262	1051	797
0.4 2586 1293	1034	863	710
0.5 1230 704	644	628	629
0.6 1228 704	644	629	629
0.7 2586 1293	1034	862	710
0.8 3155 1577	1262	1051	796
0.9 2586 1293	1035	878	791
1.0 1233 782	750	750	750


