# File: fc25-error-per-unit-length.dat

Tear	7.169651E-05
Butt	1.188202E-05
Ellip	2.748798E-05
SkAst 2.895606E-06
Circle	4.407042E-06
AstEpi 4.738911E-06
Snail	4.732991E-05
SnHyp	9.309386E-06
# Ribbon-10L	4.819499E-04
Rib100L	4.821184E-05


