# File: fc40-error-per-unit-length.dat

Tear 7.202933E-05
Butt 1.643335E-05
Ellip 3.399977E-05
SkAst 4.621795E-06
Circle 8.812956E-06
AstEpi 7.299192E-06
Snail 5.085042E-05
SnHyp 0.000000E+00
# Rib-10L 4.818662E-04
Rib100L 4.820475E-05


